Method,Mean_Accuracy,Std_Accuracy,CI_Lower,CI_Upper,N_Splits,Avg_Preselected_Features,Avg_Final_Features,Train_Size_Distribution
LDA,0.9,0.1224744871391589,0.7926463787289875,1.0,5,180.0,19.0,{12: 5}
PLS_DA,0.9,0.1224744871391589,0.7926463787289875,1.0,5,180.0,19.0,{12: 5}
SVM_linear,0.9,0.1224744871391589,0.7926463787289875,1.0,5,180.0,19.0,{12: 5}
SVM_rbf,0.75,0.0,0.75,0.75,5,180.0,19.0,{12: 5}
